;date;Italy;US;Spain;India;Germany
0;2020-01-22;0;1;0;0;0
1;2020-01-23;0;1;0;0;0
2;2020-01-24;0;2;0;0;0
3;2020-01-25;0;2;0;0;0
4;2020-01-26;0;5;0;0;0
5;2020-01-27;0;5;0;0;1
6;2020-01-28;0;5;0;0;4
7;2020-01-29;0;6;0;0;4
8;2020-01-30;0;6;0;1;4
9;2020-01-31;2;8;0;1;5
10;2020-02-01;2;8;1;1;8
11;2020-02-02;2;8;1;2;10
12;2020-02-03;2;11;1;3;12
13;2020-02-04;2;11;1;3;12
14;2020-02-05;2;11;1;3;12
15;2020-02-06;2;12;1;3;12
16;2020-02-07;3;12;1;3;13
17;2020-02-08;3;12;1;3;13
18;2020-02-09;3;12;2;3;14
19;2020-02-10;3;12;2;3;14
20;2020-02-11;3;13;2;3;16
21;2020-02-12;3;13;2;3;16
22;2020-02-13;3;14;2;3;16
23;2020-02-14;3;14;2;3;16
24;2020-02-15;3;14;2;3;16
25;2020-02-16;3;14;2;3;16
26;2020-02-17;3;14;2;3;16
27;2020-02-18;3;14;2;3;16
28;2020-02-19;3;14;2;3;16
29;2020-02-20;3;14;2;3;16
30;2020-02-21;20;16;2;3;16
31;2020-02-22;62;16;2;3;16
32;2020-02-23;155;16;2;3;16
33;2020-02-24;229;16;2;3;16
34;2020-02-25;322;16;6;3;16
35;2020-02-26;453;16;13;3;21
36;2020-02-27;655;17;15;3;26
37;2020-02-28;888;17;32;3;53
38;2020-02-29;1128;25;45;3;66
39;2020-03-01;1694;32;84;3;117
40;2020-03-02;2036;55;120;5;150
41;2020-03-03;2502;74;165;5;188
42;2020-03-04;3089;107;222;28;240
43;2020-03-05;3858;184;259;30;349
44;2020-03-06;4636;237;400;31;534
45;2020-03-07;5883;403;500;34;684
46;2020-03-08;7375;519;673;39;847
47;2020-03-09;9172;594;1073;43;1112
48;2020-03-10;10149;782;1695;56;1296
49;2020-03-11;12462;1147;2277;62;1567
50;2020-03-12;15113;1586;2277;73;2369
51;2020-03-13;17660;2219;5232;82;3062
52;2020-03-14;21157;2978;6391;102;3795
53;2020-03-15;24747;3212;7798;113;4838
54;2020-03-16;27980;4679;9942;119;6012
55;2020-03-17;31506;6512;11748;142;7156
56;2020-03-18;35713;9169;13910;156;8198
57;2020-03-19;41035;13663;17963;194;10999
58;2020-03-20;47021;20030;20410;244;13957
59;2020-03-21;53578;26025;25374;330;16662
60;2020-03-22;59138;34944;28768;396;18610
61;2020-03-23;63927;46096;35136;499;22672
62;2020-03-24;69176;56714;39885;536;27436
63;2020-03-25;74386;68841;49515;657;31554
64;2020-03-26;80589;86662;57786;727;36508
65;2020-03-27;86498;105253;65719;887;42288
66;2020-03-28;92472;127417;73235;987;48582
67;2020-03-29;97689;143544;80110;1024;52547
68;2020-03-30;101739;165698;87956;1251;57298
69;2020-03-31;105792;192079;95923;1397;61913
70;2020-04-01;110574;223254;104118;1998;67366
71;2020-04-02;115242;255530;112065;2543;73522
72;2020-04-03;119827;287931;119199;2567;79696
73;2020-04-04;124632;319776;126168;3082;85778
74;2020-04-05;128948;349016;131646;3588;91714
75;2020-04-06;132547;380798;136675;4778;95391
76;2020-04-07;135586;410834;141942;5311;99225
77;2020-04-08;139422;441897;148220;5916;103228
78;2020-04-09;143626;477507;153222;6725;108202
79;2020-04-10;147577;511790;158273;7598;113525
80;2020-04-11;152271;540714;163027;8446;117658
81;2020-04-12;156363;567022;166831;9205;120479
82;2020-04-13;159516;594165;170099;10453;123016
83;2020-04-14;162488;622493;172541;11487;125098
84;2020-04-15;165155;648390;177644;12322;127584
85;2020-04-16;168941;678028;184948;13430;130450
86;2020-04-17;172434;711135;190839;14352;133830
87;2020-04-18;175925;738464;191726;15722;137439
88;2020-04-19;178972;763886;198674;17615;139897
89;2020-04-20;181228;793970;200210;18539;141672
90;2020-04-21;183957;820045;204178;20080;143457
91;2020-04-22;187327;849926;208389;21370;145694
92;2020-04-23;189973;881891;213024;23077;148046
93;2020-04-24;192994;913856;202990;24530;150383
94;2020-04-25;195351;944770;205905;26283;152438
95;2020-04-26;197675;970741;207634;27890;154175
96;2020-04-27;199414;995391;209465;29451;155193
97;2020-04-28;201505;1019964;210773;31324;156337
98;2020-04-29;203591;1046816;212917;33062;157641
99;2020-04-30;205463;1076518;213435;34863;159119
100;2020-05-01;207428;1111410;215216;37257;160758
101;2020-05-02;209328;1138174;216582;39699;161703
102;2020-05-03;210717;1161907;217466;42505;162496
103;2020-05-04;211938;1185709;218011;46437;163175
104;2020-05-05;213013;1209728;219329;49400;163860
105;2020-05-06;214457;1234210;220325;52987;164807
106;2020-05-07;215858;1261949;221447;56351;166091
107;2020-05-08;217185;1289132;222857;59695;167300
108;2020-05-09;218268;1313586;223578;62808;168551
109;2020-05-10;219070;1332333;224350;67161;169218
110;2020-05-11;219814;1351410;227436;70768;169575
111;2020-05-12;221216;1374792;228030;74292;170508
112;2020-05-13;222104;1394807;228691;78055;171306
113;2020-05-14;223096;1420697;229540;81997;172239
114;2020-05-15;223885;1445548;230183;85784;173152
115;2020-05-16;224760;1469598;230698;90648;173772
116;2020-05-17;225435;1488327;230698;95698;174355
117;2020-05-18;225886;1510635;231606;100328;174697
118;2020-05-19;226699;1531138;232037;106475;175210
119;2020-05-20;227364;1553964;232555;112028;176007
120;2020-05-21;228006;1579116;233037;118226;176752
121;2020-05-22;228658;1602945;234824;124794;177212
122;2020-05-23;229327;1623134;235290;131423;177850
123;2020-05-24;229858;1643308;235772;138536;178281
124;2020-05-25;230158;1662402;235400;144950;178570
125;2020-05-26;230555;1681128;236259;150793;179002
126;2020-05-27;231139;1699891;236259;158086;179364
127;2020-05-28;231732;1721158;237906;165386;179717
128;2020-05-29;232248;1746240;238564;173491;180458
129;2020-05-30;232664;1769320;239228;181827;181196
130;2020-05-31;232997;1788239;239479;190609;181482
131;2020-06-01;233197;1806079;239638;198370;181815
132;2020-06-02;233515;1826169;239932;207191;182028
133;2020-06-03;233836;1845325;240326;216824;182370
134;2020-06-04;234013;1873259;240660;226713;182764
135;2020-06-05;234531;1899699;240978;236184;183271
136;2020-06-06;234801;1919968;241310;246622;183678
137;2020-06-07;234998;1937794;241550;257486;183979
138;2020-06-08;235278;1954694;241717;265928;184193
139;2020-06-09;235561;1975015;241966;276146;184543
140;2020-06-10;235763;1996733;242280;286605;184861
141;2020-06-11;236142;2019011;242707;297535;185416
142;2020-06-12;236305;2044569;243209;308993;185674
143;2020-06-13;236651;2068726;243605;320922;186022
144;2020-06-14;236989;2087627;243928;332424;186269
145;2020-06-15;237290;2108626;244109;343091;186461
146;2020-06-16;237500;2133175;244328;354065;186839
147;2020-06-17;237828;2160225;244683;366946;187184
148;2020-06-18;238159;2188452;245268;380532;187764
149;2020-06-19;238011;2219506;245575;395048;188534
150;2020-06-20;238275;2251332;245938;410451;189135
