doubling every two days;doubling every 4 days;doubling every 10 days;Italy;US;Spain;India;Germany;date
100.0;100.0;100.0;20.0;11.0;13.0;28.0;12.0;0
141.4213562373095;118.9207115002721;107.17734625362931;62.0;11.0;15.0;30.0;12.0;1
200.0;141.4213562373095;114.86983549970351;155.0;11.0;32.0;31.0;12.0;2
282.842712474619;168.1792830507429;123.11444133449163;229.0;12.0;45.0;34.0;12.0;3
400.0;200.0;131.9507910772894;322.0;12.0;84.0;39.0;13.0;4
565.685424949238;237.8414230005442;141.4213562373095;453.0;12.0;120.0;43.0;13.0;5
800.0;282.842712474619;151.5716566510398;655.0;12.0;165.0;56.0;14.0;6
1131.370849898476;336.3585661014858;162.4504792712471;888.0;12.0;222.0;62.0;14.0;7
1600.0;400.0;174.11011265922482;1128.0;13.0;259.0;73.0;16.0;8
2262.741699796952;475.6828460010884;186.60659830736148;1694.0;13.0;400.0;82.0;16.0;9
3200.0;565.685424949238;200.0;2036.0;14.0;500.0;102.0;16.0;10
4525.483399593904;672.7171322029716;214.35469250725862;2502.0;14.0;673.0;113.0;16.0;11
6400.0;800.0;229.73967099940697;3089.0;14.0;1073.0;119.0;16.0;12
9050.966799187809;951.3656920021768;246.22888266898326;3858.0;14.0;1695.0;142.0;16.0;13
12800.0;1131.370849898476;263.9015821545788;4636.0;14.0;2277.0;156.0;16.0;14
18101.933598375617;1345.4342644059432;282.842712474619;5883.0;14.0;2277.0;194.0;16.0;15
25600.0;1600.0;303.14331330207966;7375.0;14.0;5232.0;244.0;16.0;16
36203.867196751235;1902.7313840043537;324.9009585424942;9172.0;14.0;6391.0;330.0;16.0;17
51200.0;2262.741699796952;348.22022531844965;10149.0;16.0;7798.0;396.0;16.0;18
72407.73439350247;2690.8685288118863;373.21319661472296;12462.0;16.0;9942.0;499.0;16.0;19
102400.0;3200.0;400.0;15113.0;16.0;11748.0;536.0;16.0;20
144815.46878700494;3805.4627680087074;428.70938501451724;17660.0;16.0;13910.0;657.0;16.0;21
204800.0;4525.483399593904;459.47934199881405;21157.0;16.0;17963.0;727.0;16.0;22
289630.9375740099;5381.737057623773;492.4577653379664;24747.0;16.0;20410.0;887.0;21.0;23
409600.0;6400.0;527.8031643091576;27980.0;17.0;25374.0;987.0;26.0;24
579261.8751480198;7610.925536017415;565.685424949238;31506.0;17.0;28768.0;1024.0;53.0;25
819200.0;9050.966799187809;606.2866266041593;35713.0;25.0;35136.0;1251.0;66.0;26
1158523.7502960395;10763.474115247545;649.8019170849884;41035.0;32.0;39885.0;1397.0;117.0;27
1638400.0;12800.0;696.4404506368992;47021.0;55.0;49515.0;1998.0;150.0;28
2317047.500592079;15221.85107203483;746.4263932294459;53578.0;74.0;57786.0;2543.0;188.0;29
3276800.0;18101.933598375617;800.0;59138.0;107.0;65719.0;2567.0;240.0;30
4634095.001184158;21526.94823049509;857.4187700290345;63927.0;184.0;73235.0;3082.0;349.0;31
6553600.0;25600.0;918.9586839976281;69176.0;237.0;80110.0;3588.0;534.0;32
9268190.002368316;30443.70214406966;984.9155306759328;74386.0;403.0;87956.0;4778.0;684.0;33
13107200.0;36203.867196751235;1055.6063286183153;80589.0;519.0;95923.0;5311.0;847.0;34
18536380.004736632;43053.89646099018;1131.370849898476;86498.0;594.0;104118.0;5916.0;1112.0;35
26214400.0;51200.0;1212.5732532083186;92472.0;782.0;112065.0;6725.0;1296.0;36
37072760.009473264;60887.40428813932;1299.6038341699768;97689.0;1147.0;119199.0;7598.0;1567.0;37
52428800.0;72407.73439350247;1392.8809012737984;101739.0;1586.0;126168.0;8446.0;2369.0;38
74145520.01894653;86107.79292198036;1492.8527864588918;105792.0;2219.0;131646.0;9205.0;3062.0;39
;;;110574.0;2978.0;136675.0;10453.0;3795.0;40
;;;115242.0;3212.0;141942.0;11487.0;4838.0;41
;;;119827.0;4679.0;148220.0;12322.0;6012.0;42
;;;124632.0;6512.0;153222.0;13430.0;7156.0;43
;;;128948.0;9169.0;158273.0;14352.0;8198.0;44
;;;132547.0;13663.0;163027.0;15722.0;10999.0;45
;;;135586.0;20030.0;166831.0;17615.0;13957.0;46
;;;139422.0;26025.0;170099.0;18539.0;16662.0;47
;;;143626.0;34944.0;172541.0;20080.0;18610.0;48
;;;147577.0;46096.0;177644.0;21370.0;22672.0;49
;;;152271.0;56714.0;184948.0;23077.0;27436.0;50
;;;156363.0;68841.0;190839.0;24530.0;31554.0;51
;;;159516.0;86662.0;191726.0;26283.0;36508.0;52
;;;162488.0;105253.0;198674.0;27890.0;42288.0;53
;;;165155.0;127417.0;200210.0;29451.0;48582.0;54
;;;168941.0;143544.0;204178.0;31324.0;52547.0;55
;;;172434.0;165698.0;208389.0;33062.0;57298.0;56
;;;175925.0;192079.0;213024.0;34863.0;61913.0;57
;;;178972.0;223254.0;202990.0;37257.0;67366.0;58
;;;181228.0;255530.0;205905.0;39699.0;73522.0;59
;;;183957.0;287931.0;207634.0;42505.0;79696.0;60
;;;187327.0;319776.0;209465.0;46437.0;85778.0;61
;;;189973.0;349016.0;210773.0;49400.0;91714.0;62
;;;192994.0;380798.0;212917.0;52987.0;95391.0;63
;;;195351.0;410834.0;213435.0;56351.0;99225.0;64
;;;197675.0;441897.0;215216.0;59695.0;103228.0;65
;;;199414.0;477507.0;216582.0;62808.0;108202.0;66
;;;201505.0;511790.0;217466.0;67161.0;113525.0;67
;;;203591.0;540714.0;218011.0;70768.0;117658.0;68
;;;205463.0;567022.0;219329.0;74292.0;120479.0;69
;;;207428.0;594165.0;220325.0;78055.0;123016.0;70
;;;209328.0;622493.0;221447.0;81997.0;125098.0;71
;;;210717.0;648390.0;222857.0;85784.0;127584.0;72
;;;211938.0;678028.0;223578.0;90648.0;130450.0;73
;;;213013.0;711135.0;224350.0;95698.0;133830.0;74
;;;214457.0;738464.0;227436.0;100328.0;137439.0;75
;;;215858.0;763886.0;228030.0;106475.0;139897.0;76
;;;217185.0;793970.0;228691.0;112028.0;141672.0;77
;;;218268.0;820045.0;229540.0;118226.0;143457.0;78
;;;219070.0;849926.0;230183.0;124794.0;145694.0;79
;;;219814.0;881891.0;230698.0;131423.0;148046.0;80
;;;221216.0;913856.0;230698.0;138536.0;150383.0;81
;;;222104.0;944770.0;231606.0;144950.0;152438.0;82
;;;223096.0;970741.0;232037.0;150793.0;154175.0;83
;;;223885.0;995391.0;232555.0;158086.0;155193.0;84
;;;224760.0;1019964.0;233037.0;165386.0;156337.0;85
;;;225435.0;1046816.0;234824.0;173491.0;157641.0;86
;;;225886.0;1076518.0;235290.0;181827.0;159119.0;87
;;;226699.0;1111410.0;235772.0;190609.0;160758.0;88
;;;227364.0;1138174.0;235400.0;198370.0;161703.0;89
;;;228006.0;1161907.0;236259.0;207191.0;162496.0;90
;;;228658.0;1185709.0;236259.0;216824.0;163175.0;91
;;;229327.0;1209728.0;237906.0;226713.0;163860.0;92
;;;229858.0;1234210.0;238564.0;236184.0;164807.0;93
;;;230158.0;1261949.0;239228.0;246622.0;166091.0;94
;;;230555.0;1289132.0;239479.0;257486.0;167300.0;95
;;;231139.0;1313586.0;239638.0;265928.0;168551.0;96
;;;231732.0;1332333.0;239932.0;276146.0;169218.0;97
;;;232248.0;1351410.0;240326.0;286605.0;169575.0;98
;;;232664.0;1374792.0;240660.0;297535.0;170508.0;99
;;;232997.0;1394807.0;240978.0;308993.0;171306.0;100
;;;233197.0;1420697.0;241310.0;320922.0;172239.0;101
;;;233515.0;1445548.0;241550.0;332424.0;173152.0;102
;;;233836.0;1469598.0;241717.0;343091.0;173772.0;103
;;;234013.0;1488327.0;241966.0;354065.0;174355.0;104
;;;234531.0;1510635.0;242280.0;366946.0;174697.0;105
;;;234801.0;1531138.0;242707.0;380532.0;175210.0;106
;;;234998.0;1553964.0;243209.0;395048.0;176007.0;107
;;;235278.0;1579116.0;243605.0;410451.0;176752.0;108
;;;235561.0;1602945.0;243928.0;425282.0;177212.0;109
;;;235763.0;1623134.0;244109.0;440215.0;177850.0;110
;;;236142.0;1643308.0;244328.0;456183.0;178281.0;111
;;;236305.0;1662402.0;244683.0;473105.0;178570.0;112
;;;236651.0;1681128.0;245268.0;490401.0;179002.0;113
;;;236989.0;1699891.0;245575.0;508953.0;179364.0;114
;;;237290.0;1721158.0;245938.0;528859.0;179717.0;115
;;;237500.0;1746240.0;246272.0;548318.0;180458.0;116
;;;237828.0;1769320.0;246504.0;566840.0;181196.0;117
;;;238159.0;1788239.0;246752.0;585481.0;181482.0;118
;;;238011.0;1806079.0;247086.0;604641.0;181815.0;119
;;;238275.0;1826169.0;247486.0;625544.0;182028.0;120
;;;238499.0;1845325.0;247905.0;648315.0;182370.0;121
;;;238720.0;1873259.0;248469.0;673165.0;182764.0;122
;;;238833.0;1899699.0;248770.0;697413.0;183271.0;123
;;;239410.0;1919968.0;248970.0;719664.0;183678.0;124
;;;239706.0;1937794.0;249271.0;742417.0;183979.0;125
;;;239961.0;1954694.0;249659.0;767296.0;184193.0;126
;;;240136.0;1975015.0;250103.0;793802.0;184543.0;127
;;;240310.0;1996733.0;250545.0;820916.0;184861.0;128
;;;240436.0;2019011.0;250545.0;849522.0;185416.0;129
;;;240578.0;2044569.0;250545.0;878254.0;185674.0;130
;;;240760.0;2068726.0;251789.0;906752.0;186022.0;131
;;;240961.0;2087627.0;252130.0;936181.0;186269.0;132
;;;241184.0;2108626.0;252513.0;968857.0;186461.0;133
;;;241419.0;2133175.0;253056.0;1003832.0;186839.0;134
